name,FREQUENCY_MHZ,CLOCK_CYCLES_1ST,CLOCK_CYCLES_NEXT,DSP,LUT,FF,TIME_1ST_US,TIME_NEXT_US,THROUGHPUT,DSP_AT,LUT_AT,FF_AT
128CA0L0AB0M0C0E,433.333333,53,18,8,597,1181,0.122307692401775,0.0415384615704142,24.0740740555556,0.978461539214201,73.0176923638598,144.445384726496
128CA0L0AB0M1C0E,562.5,61,19,8,599,1470,0.108444444444444,0.0337777777777778,29.6052631578947,0.867555555555556,64.9582222222222,159.413333333333
128CA0L0AB1M0C0E,600.0,61,19,8,601,1390,0.101666666666667,0.0316666666666667,31.5789473684211,0.813333333333333,61.1016666666667,141.316666666667
128CA0L0AB1M1C0E,616.0,76,20,8,756,1640,0.123376623376623,0.0324675324675325,30.8,0.987012987012987,93.2727272727273,202.337662337662
128CA0L0AB0M0C1E,433.333333,60,18,8,597,915,0.138461538568047,0.0415384615704142,24.0740740555556,1.10769230854438,82.6615385251243,126.692307789763
128CA0L0AB0M1C1E,600.0,68,19,8,867,1661,0.113333333333333,0.0316666666666667,31.5789473684211,0.906666666666667,98.26,188.246666666667
128CA0L0AB1M0C1E,625.0,68,19,8,866,1567,0.1088,0.0304,32.8947368421053,0.8704,94.2208,170.4896
128CA0L0AB1M1C1E,738.0,83,20,8,741,1566,0.112466124661247,0.02710027100271,36.9,0.899728997289973,83.3373983739837,176.121951219512
128CA1L0AB0M0C1E,433.333333,53,18,8,676,1013,0.122307692401775,0.0415384615704142,24.0740740555556,0.978461539214201,82.6800000636,123.897692402998
128CA1L0AB0M1C1E,600.0,61,19,8,750,1405,0.101666666666667,0.0316666666666667,31.5789473684211,0.813333333333333,76.25,142.841666666667
128CA1L0AB1M0C1E,625.0,61,19,8,750,1435,0.0976,0.0304,32.8947368421053,0.7808,73.2,140.056
128CA1L0AB1M1C1E,738.0,76,20,8,805,1984,0.102981029810298,0.02710027100271,36.9,0.823848238482385,82.89972899729,204.314363143631
128CA0L0AB0M0C0F,433.333333,53,53,4,346,646,0.122307692401775,0.122307692401775,8.17610062264151,0.489230769607101,42.3184615710142,79.0107692915468
128CA0L0AB0M1C0F,578.0,61,61,4,357,782,0.105536332179931,0.105536332179931,9.47540983606557,0.422145328719723,37.6764705882353,82.5294117647059
128CA0L0AB1M0C0F,587.0,61,61,4,357,744,0.103918228279387,0.103918228279387,9.62295081967213,0.415672913117547,37.0988074957411,77.3151618398637
128CA0L0AB1M1C0F,616.0,76,76,3,352,637,0.123376623376623,0.123376623376623,8.10526315789474,0.37012987012987,43.4285714285714,78.5909090909091
128CA0L0AB0M0C1F,450.0,60,60,4,346,509,0.133333333333333,0.133333333333333,7.5,0.533333333333333,46.1333333333333,67.8666666666667
128CA0L0AB0M1C1F,625.0,68,68,3,369,603,0.1088,0.1088,9.19117647058824,0.3264,40.1472,65.6064
128CA0L0AB1M0C1F,625.0,68,68,3,370,647,0.1088,0.1088,9.19117647058824,0.3264,40.256,70.3936
128CA0L0AB1M1C1F,738.0,83,83,3,345,735,0.112466124661247,0.112466124661247,8.89156626506024,0.33739837398374,38.8008130081301,82.6626016260163
128CA1L0AB0M0C1F,433.333333,54,54,4,371,549,0.124615384711243,0.124615384711243,8.02469135185185,0.49846153884497,46.232307727871,68.4138462064722
128CA1L0AB0M1C1F,583.0,62,62,4,448,823,0.106346483704974,0.106346483704974,9.40322580645161,0.425385934819897,47.6432246998285,87.5231560891938
128CA1L0AB1M0C1F,625.0,62,62,4,448,926,0.0992,0.0992,10.0806451612903,0.3968,44.4416,91.8592
128CA1L0AB1M1C1F,738.0,78,78,3,356,777,0.105691056910569,0.105691056910569,9.46153846153846,0.317073170731707,37.6260162601626,82.1219512195122
145CA0L0AB0M0C0E,433.333333,60,20,9,676,1362,0.138461538568047,0.0461538461893491,21.66666665,1.24615384711243,93.600000072,188.58461552968
145CA0L0AB0M1C0E,562.5,69,21,9,679,1569,0.122666666666667,0.0373333333333333,26.7857142857143,1.104,83.2906666666667,192.464
145CA0L0AB1M0C0E,588.0,69,21,9,679,1643,0.11734693877551,0.0357142857142857,28.0,1.05612244897959,79.6785714285714,192.801020408163
