,WIDTH,CREG,CASC,DSP_REG_LEVEL,CONFIGURATION,FREQ,DSP,LUT,FF,FIRST_MM_CYCLE,NEXT_MM_CYCLE,MM_TIME,THROUGHPUT
68,1024,1,1,2,EXPANDED,625.0,61,5790,10596,485,125,0.776,5.0
69,1024,1,1,2,FOLDED,625.0,21,2046,4141,488,488,0.7808,1.281
70,1024,1,1,3,EXPANDED,712.5,61,6384,15071,606,126,0.8505,5.655
71,1024,1,1,3,FOLDED,712.5,16,1716,4711,610,610,0.8561,1.168
72,2048,0,0,1,EXPANDED,412.5,121,9411,17522,844,244,2.046,1.691
73,2048,0,0,1,FOLDED,412.5,49,3856,7241,844,844,2.046,0.4887
74,2048,0,0,2,EXPANDED,550.0,121,9504,21729,966,245,1.716,2.245
75,2048,0,0,2,FOLDED,562.5,41,3255,7418,966,966,1.717,0.5823
76,2048,0,0,3,EXPANDED,550.0,121,11636,20286,1206,246,2.193,2.236
77,2048,0,0,3,FOLDED,562.5,31,3036,5564,1206,1206,2.144,0.4664
78,2048,1,0,1,EXPANDED,412.5,121,9411,13402,964,244,2.337,1.691
79,2048,1,0,1,FOLDED,412.5,41,3232,4690,964,964,2.337,0.4279
80,2048,1,0,2,EXPANDED,625.0,121,13475,23205,1085,245,1.736,2.551
81,2048,1,0,2,FOLDED,625.0,36,4055,7478,1085,1085,1.736,0.576
82,2048,1,0,3,EXPANDED,700.0,121,11596,22995,1326,246,1.894,2.846
83,2048,1,0,3,FOLDED,738.0,28,2748,5809,1326,1326,1.797,0.5567
84,2048,1,1,1,EXPANDED,400.0,121,10445,13290,844,244,2.11,1.639
85,2048,1,1,1,FOLDED,400.0,49,4262,5514,847,847,2.118,0.4723
86,2048,1,1,2,EXPANDED,625.0,121,11492,19781,966,245,1.546,2.551
87,2048,1,1,2,FOLDED,625.0,41,3948,7636,972,972,1.552,0.643
88,2048,1,1,3,EXPANDED,700.0,121,12580,28044,1206,246,1.723,2.846
89,2048,1,1,3,FOLDED,712.5,31,3272,8384,1304,1304,1.83,0.5464
90,4096,0,0,1,EXPANDED,400.0,242,18849,35004,1691,486,4.228,0.823
91,4096,0,0,1,FOLDED,412.5,98,7679,14249,1691,1691,4.099,0.2439
92,4096,0,0,2,EXPANDED,550.0,242,18970,43515,1933,487,3.515,1.129
93,4096,0,0,2,FOLDED,550.0,82,6503,14786,1933,1933,3.515,0.2845
94,4096,0,0,3,EXPANDED,525.0,242,23205,41039,2416,488,4.602,1.076
95,4096,0,0,3,FOLDED,562.5,62,6028,10958,2416,2416,4.295,0.2328
96,4096,1,0,1,EXPANDED,400.0,242,18849,26850,1932,486,4.83,0.823
97,4096,1,0,1,FOLDED,412.5,82,6430,9149,1932,1932,4.684,0.2135
98,4096,1,0,2,EXPANDED,625.0,242,26996,44824,2174,487,3.478,1.283
99,4096,1,0,2,FOLDED,625.0,70,7863,13884,2178,2178,3.485,0.287
100,4096,1,0,3,EXPANDED,675.0,242,23219,41689,2657,488,3.936,1.3832
101,4096,1,0,3,FOLDED,738.0,55,5346,11079,2662,2662,3.607,0.2772
102,4096,1,1,1,EXPANDED,375.0,242,21138,27790,1692,486,4.512,0.7716
103,4096,1,1,1,FOLDED,400.0,98,8496,10874,1694,1694,4.235,0.2361
104,4096,1,1,2,EXPANDED,500.0,242,23265,41335,2176,487,4.352,1.027
105,4096,1,1,2,FOLDED,625.0,82,7849,13774,2178,2178,3.485,0.287
106,4096,1,1,3,EXPANDED,500.0,242,25351,53233,2658,488,5.316,1.025
107,4096,1,1,3,FOLDED,700.0,62,6604,15568,2660,2660,3.8,0.2632
